Full Text,,,,,Fact,Fake,Unverified
"Sukses Tekan Kasus DBD, Masyarakat Diimbau Dukung Inovasi Nyamuk Wolbachia di Sulawesi Tenggara https://t.co/Aj3EySONjh",,,,,1,0,0
"Setelah sebelumnya rame Wolbachia"" tiba tiba DBD merajalela dimana mana. Padahal baru ada hujan di akhir akhir tahun dan itupun ga sering 🤔🤔🤔🤔""",,,,,0,0,1
[FOTO] Dapur Pengembangbiakan Nyamuk Wolbachia untuk DBD di Salatiga https://t.co/FROtDdojTt,,,,,1,0,0
"@anas_pnk90 Ngerasa nyamuknya jd lebih banyak akhir akhir ini, nyamuknya juga belang belang dirumah kaya nyamuk dbd apakah itu nyamuk wolbachia? Efeknya bekas gigitan nyamuk jd item item☹️",,,,,0,0,1
"@KemenkesRI Wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari DBD",,,,,1,0,0
"@KemenkesRI Wah, perkembangan Wolbachia di Jogja emang bagus banget! tetangga2 yang langganan DBD berkurang drastis. Jadi, sebenernya gak perlu ribut-ribut nyambungin dengan LGBT, yang penting kesehatan masyarakat menurutku",,,,,1,0,0
"@e100ss Misinformasi macam apa ini? Di Jogja penelitian nyamuk Wolbachia di UGM sudah berjalan dari kapan tau, ga ada yg heboh. Dan berhasil menurunkan jumlah DBD 🤣🤣🤣",,,,,1,0,0
"@KemenkesRI setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas DBD, no debate!",,,,,1,0,0
@KemenkesRI cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa DBD,,,,,1,0,0
@KemenkesRI Gw optimis kalau wolbachia ini bisa sukses nurunin Dbd lanjutkan!,,,,,1,0,0
"@KemenkesRI thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia",,,,,1,0,0
"@KemenkesRI dbd sering banget menyerang anak anak,kadang aku sering khawatir kalau kalau adikku terjangkit dbd karna sering main keluar rumah. Terimakasi atas adanya program wolbachia",,,,,0,0,1
"@KemenkesRI digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya",,,,,1,0,0
@KemenkesRI welcome wolbachia! semangat memerangi dbd di muka bumi ini,,,,,1,0,0
"@KemenkesRI Aku baca beberapa berita dari google,  Wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd",,,,,1,0,0
"@KemenkesRI bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa DBD, wow!",,,,,1,0,0
@KemenkesRI nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia,,,,,1,0,0
"@KemenkesRI gw dulu pernah sakit dbd dan emang ga enak bgt, wolbachia menjadi harapan baru buat anak dan cucu gw di masa depan spy ga ngalamin hal yg sama",,,,,0,0,1
"Mengenal Inovasi Nyamuk Wolbachia yang Disebut Solusi untuk Kendalikan DBD, Benarkah Efektif? https://t.co/YRdB0vyChx",,,,,1,0,0
"@KemenkesRI gila si kalau wolbachia dijalankan dg baik di Indo, pasti ga ada lagi tuh yg namanya wabah dbd",,,,,1,0,0
"@KemenkesRI pengen banget dbd bebas dan ga ada lagi dilingkungan sekitar gue, semoga wolbachia bisa bantuin biar generasi selanjutnya sehat dan bebas dari dbd",,,,,1,0,0
"@KemenkesRI apalagi pas musim hujan itu bahaya bgt nyamuk dbd marak, dg adanya wolbachia bisa menekan laju dbd, dan kita gaperlu khawatir lg",,,,,0,0,1
"@KemenkesRI anjayy, bener-bener wolbachia ini nge-hack sistem DBD wkwkwk",,,,,0,0,1
"@KemenkesRI aku org asli jogja emang ngerasain si gmn dulu maraknya dbd sampe skrg udh jarang kedenger lagi wabah dbd, wolbachia fully recommended",,,,,1,0,0
"@KemenkesRI kalau ngomongin DBD, hampir semua dari kita udah pernah ngerasain ya dan pasti rasannya ga enak banget, baru denger nih tentang wolbachia, semoga menjadi program pencegahan DBD terbaik",,,,,0,0,1
"@KemenkesRI Ayo gaes ,kita kudu menyerap informasi ini dengan baik ,ingat ,ini wolbachia bantuan kita terhindar dari DBD loh!",,,,,1,0,0
"@KemenkesRI mindblowing! wolbachia ini kunci untuk ngubah paradigma dlm nanganin DBD, kita harus sama-sama dukung riset dan implementasinya buat ngelihat dampak positifnya",,,,,1,0,0
"@KemenkesRI kita sering banget denger program 3M dari pemerintah tapi DBD terus-terusan ada aja, semoga wolbachia bisa menjadi upaya signifikan buat menekan DBD",,,,,0,0,1
"@KemenkesRI dari sisi lingkungan, ini program wolbachia tu bukan cuma ngeberhentiin DBD, tp juga nyiptain ekosistem yg seimbang, kerren juga ya",,,,,1,0,0
@KemenkesRI jadi inget waktu kecil pernah sakit dbd sampe trombosit turun :(( Alhamdulillah program wolbachia terobosan baru,,,,,0,0,1
"@KemenkesRI Suka bnget sama konten edukasi seperti ini, yuk kita gaskeun bareng-bareng berantas dbd dgn wolbachia",,,,,1,0,0
"@KemenkesRI mantap sih program wolbachia ini, ini tuh ngebuktiin bahwa solusi alamiah bisa menjadi pilihan yang bijak, apalagi utk menekan wabah berbahaya seperti DBD",,,,,1,0,0
"@KemenkesRI aku kepikiran banget sih masalah DBD dari dulu ga kelar-kelar, semoga program wolbachia ini bisa work well",,,,,0,0,1
@KemenkesRI menurutku nih ya inovasi wolbachia bisa ngebukain pintu baru utk pengendalian DBD. Yuk kita sama sama ngedukung lingkungan bebas DBD!,,,,,1,0,0
"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya",,,,,1,0,0
@KemenkesRI Gue pernah baca berita tentang wolbachia ini di jogja dan ternyata emang bnar efektif bgt sampe nurunn kasus dbd 70% cuy!,,,,,1,0,0
"@KemenkesRI asliii, gw pikir-pikir wolbachia ini bisa jadi game changer dlm perang ngelawan DBD",,,,,1,0,0
@KemenkesRI Cannot agree more! Wolbachia bisa jadi solusi efektif buat kita semua dalam mengatasi wabah dbd,,,,,1,0,0
"@KemenkesRI sudah waktunya generasi mendatang hidup bahagia tanpa DBD, semoga dg adanya program wolbachia can help us to save this world from DBD",,,,,1,0,0
@KemenkesRI bagian kita terapin 3M bagian pemerintah kawal wolbachia biar aman dan DBD menghilang,,,,,1,0,0
"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya!",,,,,1,0,0
"@KemenkesRI amit amit deh kalau keluarga meninggal karena dbd kena dbd aja tersiksa, demam-engga-demam-engga, belom lagi lemesnya, duh aku gamau lagiii kena dbd, semoga wolbachia bisa punahin nyamuk dbd :)""",,,,,0,0,1
"@KemenkesRI DBD masih seberbahaya itu loh, yuk pada melek info kalo wolbachia bisa menangani DBD dg lebih efektif",,,,,1,0,0
"@KemenkesRI serius sekeren itu loh wolbachia, menekan DBD dengan super duper efektif",,,,,1,0,0
"@KemenkesRI Alhamdulillah, wolbachia bisa menyelamatkan generasi muda supaya kedepannya tidak ada DBD lagi",,,,,1,0,0
"Yuk, saksikan dukungan Ketua PC Muslimat NU Bantul, drg. Hj. Siti Roikhana Munawaroh terhadap Wolbachia.  https://t.co/3TUV4fp8Pw  #stophoax #ugm #fkkmkugm #tropmed #tropmedugm #tropmedstory #arbovirus #dengue #wolbachia #DBD #DemamBerdarah #WolbachiaNyamukBaik",,,,,0,0,1
Kebetulan baru visit ke puskesmas. Dan infonya memang program Wolbachia ini terasa bgt menurunkan  DBD. Semoga implementasinya semakin melias.,,,,,1,0,0
Teknologi wolbachia disebut efektif untuk menangani DBD. Bagaimana nasib intervensi lain seperti metode fogging? Begini kata Kemenkes. https://t.co/DsIl8yyf7x,,,,,1,0,0
"Bener juga nih usulannya, lepas dulu dirumahnya pakmen sekaligus di lingkungan kemenkes 😬😬😬😝  @KemenkesRI #wolbachia #dbd https://t.co/UnnnlfKmbx",,,,,0,0,1
Kemenkes Sebut Nyamuk Wolbachia Terbukti Efektif Perangi DBD https://t.co/2s0ZcZefnw #beritasatu #berita #news,,,,,1,0,0
"Ditentang oleh Beberapa Kelompok, Peneliti Jelaskan Bahwa Wolbachia Aman dan Bukan Rekayasa Genetik #Wolbachia #DBD #Dengue #UGM #Kemenkes https://t.co/SO50H6AMKF",,,,,1,0,0
"Bagaimana hal tersebut dapat terjadi? Mari kita simak kesaksian Ratna Dewi, petugas surveilans Kelurahan Cokrodiningratan, Jetis, Kota Yogyakarta.  #stophoax #ugm #fkkmkugm #tropmed #tropmedugm #tropmedstory #arbovirus #dengue #wolbachia #DBD #DemamBerdarah #WolbachiaNyamukBaik https://t.co/IIYZPqtjgX",,,,,1,0,0
Kenalan dengan Wolbachia: Si Bakteri Pengendali DBD https://t.co/YI80NhUjvz,,,,,1,0,0
"Meski nyamuk Wolbachia efektif untuk menekan kasus DBD, namun Dinas Kesehatan (Dinkes) Kota Surabaya belum menerapkannya di Kota Pahlawan. #publisherstory #beritaanaksurabaya https://t.co/arnr444FlP",,,,,1,0,0
Dr dr I Made Sudarmaja MKes mengatakan metode atau teknologi Wolbachia untuk menekan kasus DBD itu aman bagi manusia dan lingkungan. https://t.co/njqyTFfLHG - Akademisi Udayana: Metode Wolbachia Aman bagi Manusia dan Lingkungan https://t.co/Qtd52UKrat,,,,,1,0,0
TVR 120-Komisi IX DPR RI: Wolbachia Terbukti Mampu Cegah Virus Demam Berdarah  Agenda pengembangbiakan nyamuk Wolbachia untuk menekan peredaran nyamuk DBD Aides Aigepti menuai kontroversi disebagian kalangan masyarakat.  #tvrparlemen #komisi9 #KunkerDPR  https://t.co/skyCDOVn9w,,,,,1,0,0
@KemenkesRI tentang cara kerja nyamuk wolbachia dan kenapa bisa menurunkan DBD Mindok bahas di thread ini 👇 https://t.co/XqYkcalxxE,,,,,0,0,1
"Gak cuma di Indonesia, efektivitas dari nyamuk Wolbachia untuk menurunkan DBD juga udah dibuktikan di 13 negara, yakni:  Australia 🇦🇺 Colombia 🇨🇴 Brazil 🇧🇷 Sri Lanka 🇱🇰 El Salvador 🇸🇻 Honduras 🇭🇳 Vietnam 🇻🇳 Laos 🇱🇦 Kiribati 🇰🇮 Fiji 🇫🇯 New Caledonia 🇳🇨 Vanuatu 🇻🇺 dan Meksiko 🇲🇽",,,,,1,0,0
"@KemenkesRI CARA KERJANYA GIMANA?  Nyamuk Wolbachia dilepas, lalu nyamuk betina akan kawin dengan nyamuk lain di lingkungan dan menghasilkan keturunan nyamuk wolbachia baru yang gak menularkan DBD. https://t.co/ucs2f4zyZr",,,,,1,0,0
"Makanya nih guys, Kementerian Kesehatan Republik Indonesia @KemenkesRI menggunakan inovasi nyamuk wolbachia ini buat ngendaliin kasus DBD yang masih banyak terjadi di Indonesia.",,,,,1,0,0
APAAN TUH NYAMUK WOLBACHIA?  Nyamuk Wolbachia itu nyamuk yang mengandung bakteri Wolbachia di dalem tubuhnya 🦠  Nah ternyata bakteri Wolbachia ini bisa memblok replikasi virus dengue (penyebab DBD) di dalam tubuh nyamuk 🚫 https://t.co/SmJOUxV8nC,,,,,1,0,0
"Nyamuk Wolbachia udah berhasil nurunin kasus DBD di berbagai negara, termasuk di Indonesia🦟  Nyamuk??? Tapi nurunin kasus DBD???  Gimana caranya tuh? 🤔🤔🤔  Yuk kita bahas!   a thread 🧵 https://t.co/iBFE03i67n",,,,,1,0,0
Benarkah Nyamuk Wolbachia Cegah DBD atau Hanya Senjata Depopulasi Manusia Buatan Bill Gates dan Elite Global? https://t.co/j2CWtFpysv,,,,,1,0,0
"Pasti sudah tahu 3M, kan? Menguras, menutup dan mendaur ulang, sebagai langkah-langkah untuk mencegah DBD. Kini ada metode pelengkapnya, yaitu Wolbachia. Ingin tahu lebih detail tentang metode ini?",,,,,1,0,0
"@KemenkesRI sempet baca jurnal dan literatur resmi, awalnya gue ngeraguin efektivitas Wolbachia tp ternyata ini baik utk ngendaliin virus DBD",,,,,1,0,0
@KemenkesRI Gue percaya sih kalo Wolbachia bisa nagsih manfaat besar dalam ngendaliin DBD,,,,,0,0,1
"@KemenkesRI Jujur ini menarik banget, semoga metode Wolbachia ini bisa ngebantu nurunin kasus DBD",,,,,0,0,1
"@KemenkesRI Gw dukung banget upaya diversifikasi strategi pengendalian DBD pake nyamuk Wolbachia, semoga bisa lancar programnya!",,,,,1,0,0
"@KemenkesRI Wah, baru tau gue ada yang beginian, teknologinya makin canggih. Semoga Wolbachia bisa jadi terobosan baru dalam menangani DBD",,,,,1,0,0
"@KemenkesRI Aku baru denger terkait Wolbachia , mungkin Bisa dishare edukasi yang lebih masif supaya masyarakat bisa paham lebih baik terkait nyamuk Wolbachia yang bisa jadi solusi alternatif pengendalian virus DBD",,,,,1,0,0
"@KemenkesRI Sepengalaman gw ,ada tetangga gue yang kena DBD dan sekitar rumah di fogging itu ngeganggu bgt .mungkin Wolbachia bisa jadi salah satu alternatif yang lebih baik",,,,,1,0,0
"@KemenkesRI Betul, kita ga bisa kendaliin DBD cuma dengan 3M. Wolbachia bisa beriringan dengan 3M biar makin mantep dan nurunin sampe 0",,,,,1,0,0
@KemenkesRI terbukti rumah saya menjadi tempat yg dipasangi wolbachia. Dan sejauh ini sepertinya memang makin jarang anak anak sekitar sini yg kena DBD. Semoga memang gaada efek buruknya,,,,,1,0,0
"@KemenkesRI wahh, seneng banget dengernya, jadi inget waktu kecil kena DBD ga enak banget, semoga wolbachia dapat menjadi solusi positif buat menangani DBD",,,,,0,0,1
"@KemenkesRI DBD sudah menjadi salah satu wabah penyakit yang mematikan di Indonesia, semoga dengan adanya program wolbachia ini dapat mengatasi masalah ini",,,,,1,0,0
"@KemenkesRI Thankyou utk semua yang terlibat, wolbachia bisa jadi solusi dalam pengendalian penyakit DBD",,,,,1,0,0
"@KemenkesRI wolbachia bisa jadi solusi jitu sih buat memberantas DBD, semoga memberikan impact positif kedepannya",,,,,1,0,0
@KemenkesRI tolong dong kita yang di desa ini bingung banget kalau kena DBD karena msih minim tenaga medis yang bisa bantu sembuhin dari DBD tapi dengan adanya nyamuk wolbachia insyaallah aman,,,,,1,0,0
@KemenkesRI nyamuk wolbachia = pelengkap dari upaya pemerintah dalam mengatasi DBD,,,,,1,0,0
@KemenkesRI kena DBD tuh seengak enak itu loh makanya  kalau ada solusi wolbachia ini ayok kita welcome dengan baik,,,,,1,0,0
"Kasus DBD Tidak Tinggi, Alasan Nyamuk Wolbachia Tidak Diterapkan di Surabaya. 👇  Kepala Dinas Kesehatan Kota Surabaya, Nanik Sukristina mengatakan kota pahlawan tak masuk prioritas… https://t.co/Qzh5tUnvPI #PendidikanKesehatan #Nyamukdemamberdarah via @beritajatimcom",,,,,1,0,0
Berantas DBD Dengan Nyamuk Wolbachia Merupakan Rekayasa Genetika | NEWS OR HOAX https://t.co/vnomTBU3ls,,,,,1,0,0
@fireofstruggle_ @AriesTruss Singkat nya dia ngasih edukasi Nyamuk ber bakteri wolbachia itu mengurangi DBD dengan anda digigit nyamuk Wolbachia anda kebal terhadap DBD 10 tahun sudah diuji coba di Yogyakarta dan hasilnya signifikan,,,,,1,0,0
@sparklingcoca padahal jogja udh pake wolbachia mulai thn 2014 (cmiiw) dan emg terbukti menurunkan kasus dbd. kok ya malah sampe dihubungin ke sexual interest sih... bingung,,,,,1,0,0
"@IndiSae @ProfesorZubairi Di Australia Wolbachia disebar thn 2011, thn2 setelahnya kasus DBD malah naik, Srilanka disebar bln Feb thn 2020, trendnya juga sama, naik, ujung2nya jualan YKW (you know what)",,,,,0,1,0
"Sebenarnya apa itu nyamuk Wolbachia, bagaimana teknologi Aedes aegypti Wolbachia ini bekerja, dan bagaimana metodenya ?? 🤔  #Jamkesjak #Jamkesjakinfo #UPJamkesjak #DBD #Wolbachia #Dengue #3MPlusWolbachia #Infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia https://t.co/vUKSfzFGMa",,,,,1,0,0
@DokterTifa gw sih yakin wolbachia ini memenangkan kita dari DBD,,,,,1,0,0
@DokterTifa ngga usah deh pake takut digigit nyamuk wolbachia. takutnya sama aides tuh bawa dbd,,,,,1,0,0
@DokterTifa gampangnya Nyamuk wolbachia = nyamuk baik Nyamuk DBD = nyamuk jahat,,,,,1,0,0
"@DokterTifa kita rakyat Indonesia berharap Indonesia bebas dari DBD, tolonglah kalo dipikir2 tanpa wolbachia justru lebih banyak nyamuk yang berkembang biak apalagi bawa DBD",,,,,1,0,0
"@DokterTifa astaga kenapa ya disaat ada solusi seperti wolbachia yang terbukti udah nurunin kasus dbd di jogja, masih aja diperdebatin",,,,,0,0,1
"@DokterTifa pusing banget DBD ada terus, solusi nyamuk wolbachia aja masih diperdebatan padahal udah terbukti memenangkan DBD di luar negeri",,,,,0,0,1
"@DokterTifa bener bener gak ngerti lagi sih, tujuan dari perdebatan ini apa? biar publik kebawa sama opini kalian? memang aku bukan expert di bagian riset tapi menurut ku nyamuk wolbachia cukup efektif loh neken jumlah perkembangan kasus DBD di jogja bahkan diluar negeri",,,,,1,0,0
"@DokterTifa seriusan gimana ya cara kita bebas dari DBD, menurut ku why not kita coba untuk pake metode nyamuk wolbachia ini",,,,,1,0,0
"@DokterTifa please, kurangi debat perbanyak literasi, nyamuk wolbachia ini bukan kaleng kaleng dalam menghadapi DBD loh",,,,,1,0,0
@DokterTifa aku tim yang dukung nyamuk wolbachia biar drama DBD ini kelar,,,,,1,0,0
"@DokterTifa tadinya percaya ga percaya sama nyamuk wolbachia, tapi ada temenku di yogyakarta ngerasain dampak dari meode ini dan memang benar angka kasus DBD di yogya beneran turun drastis.",,,,,1,0,0
"@DokterTifa Gw juga sempet ngulik info ini. Di Jogja, program Wolbachia udah jalan, dan hasilnya? Kasus DBD turun sekitar 70% cuy",,,,,1,0,0
@DokterTifa yuk selesaikan masalah DBD ini dengan nyamuk wolbachia jangan kebawa opini publik saranku,,,,,1,0,0
"@DokterTifa jangan jauh jauh deh, di jogja udah diterapin selama 10tahun dan hasil penelitian menunjukkan kalau nyamuk wolbachia ini sukses nurunin kasus DBD sampai 77%",,,,,1,0,0
"@DokterTifa Aku sih setuju banget dengan adanya nyamuk wolbachia, karena itu gak merugikan kita sama sekali malah membuat nyambuk ai des yang membawa DBD itu berkurang bahkan dalam jangka panjang bisa punah itu nyamuk aides",,,,,1,0,0
"@DokterTifa Yg buat DBD itu cm nyamuk betina, nah nyamuk wolbachia yg dilepasin nyamuk jantan biar kawin sm betina. krn jantannya ada bakteri wolbachia telornya gbs netas jd ujung2nya berkurang dah nyamuknya. Bgitu kl kata websitenya (https://t.co/MFC0aFHVM2). cb banyakin baca drpd kena hoax",,,,,1,0,0
"@DokterTifa aku tim percaya sama kemenkes sih, soalnya udah baca baca juga penelitian tentang nyamuk  wolbachia dan ada fakta fakta jelas yang membuat yakin kalau nyamuk wolbachia aman nurunin DBD",,,,,1,0,0
"@DokterTifa di singapore dan malaysia udah mulai leha-leha karena udah tenang menghadapi DBD pakai metode nyamuk wolbachia, lah disini masih sibuk debat sana sini",,,,,1,0,0
"@DokterTifa Sebenarnya kalau kita riset di Jogja, nyamuk Wolbachia beneran bikin kasus dan kematian akibat DBD turun drastis. Kita bisa belajar dari kejadian ini.",,,,,1,0,0
@DokterTifa nyamuk wolbachia itu bukan nyamuk yang perlu ditakutin padahal karena sebenernya dia kan cuma bawa bakteri yang mematikan buat pertumbuhan DBD di nyamuk aides yang bisa bikin DBD ketar ketir,,,,,1,0,0
"@DokterTifa Saya harap program Wolbachia dapat diperluas ke seluruh Indonesia. DBD adalah masalah kesehatan masyarakat yang serius, dan kita membutuhkan solusi yang efektif untuk mengatasinya.",,,,,1,0,0
"@DokterTifa Saya pernah kena DBD, dan itu pengalaman yang sangat buruk. Saya harap program Wolbachia dapat membantu kita untuk bebas dari DBD.",,,,,0,0,1
"@DokterTifa masalahnya kalau nyamuk wolbachia itu berdampak negatif, kenapa diluar negeri kasus DBD berkurang sejak diaplikasikan metode wolbachia ini",,,,,1,0,0
"@DokterTifa beneran deh tolongg DBD tuh gak enak, dan dengan ada nya nyamuk wolbachia apalagi ditemenin fakta fakta yang ada, kenapa kita masih ragu?",,,,,1,0,0
Metode wolbachia atasi DBD bergantung pada populasi. https://t.co/TewXjWwj6g,,,,,1,0,0
Belakangan ini ramai dibahas soal nyamuk wolbachia yang punya claim bisa menekan jumlah kasus DBD  Apa itu sebenarnya nyamuk wolbachia dan bagaimana caranya untuk membasmi DBD?👇🏻 https://t.co/jBl6SOcQdr,,,,,1,0,0
"Begini Cara Kerja Nyamuk Wolbachia, Diklaim Bisa Atasi Tekan Kasus DBD https://t.co/7Cb6al39TQ",,,,,1,0,0
Usir nyamuk dengan cara ini gak perlu lagi nyamuk Wolbachia utk berantas DBD.,,,,,0,1,0
Penggunaan bakteri wolbachia untuk menekan kasus demam berdarah dengue (DBD) di Indonesia masih menghadapi perdebatan karena banyak yang menganggap teknik tersebut sebagai rekayasa genetika. https://t.co/1jLsbeXmb5,,,,,1,0,0
"Sepanjang 2023 Hanya Ada 71 Kasus DBD, Turun karena Wolbachia https://t.co/FjNwV0H0iW #beritajogja #jogja #jogjaistimewa https://t.co/NUnIuXKAxi",,,,,1,0,0
"Bali Tolak Rencana Kemenkes Lepas 200 Juta Nyamuk Wolbachia untuk Lawan DBD, Merasa Jadi 'Tikus Percobaan' https://t.co/dHmEPUPscU",,,,,1,0,0
"@DokterTifa Nyamuk Wolbachia ini berdasarkan riset yg gw baca sih trnyata emang berbahaya, berbahaya buat nyamuk Aides yg buat DBD, buat kita mah gk berbahaya",,,,,1,0,0
@DokterTifa Tolonglah dunia per-DBD-an ini bisa usai loh dgn kombinasi 3M + nyamuk Wolbachia ini,,,,,1,0,0
"@DokterTifa Nyamuk aides tuh mereka kan berkembangbiak ya, tapi dengan ada nya nyamuk wolbachia ini bisa bikin nyamuk aides kawin sama wolbachia dan akhirnya DBD yang dibawa sama si aides ini ilang, iyakan..",,,,,1,0,0
"@DokterTifa yuk kita saling support, pemerintah udah berani ambil langkah memberantas DBD dengan nyamuk wolbachia, bagian kita adalah mendukung dan support solusi yang ada",,,,,1,0,0
"@DokterTifa saranku sih ya kurang kurangin deh dok mengiring opini publik bikin trust issue, udah terbuka kok kalau nyamuk wolbachia ini ampuh nurnunin jumlah DBD",,,,,1,0,0
@DokterTifa wolbachia ini bagus kok buat nurunin kasus DBD,,,,,1,0,0
