label,full_text,preprocessed_column
1,"@KemenkesRI mindblowing! wolbachia ini kunci untuk ngubah paradigma dlm nanganin DBD, kita harus sama-sama dukung riset dan implementasinya buat ngelihat dampak positifnya",mindblowing wolbachia kunci ngubah paradigma dlm nanganin dbd samasama dukung riset implementasi ngelihat dampak positif
1,"@KemenkesRI dari sisi lingkungan, ini program wolbachia tu bukan cuma ngeberhentiin DBD, tp juga nyiptain ekosistem yg seimbang, kerren juga ya",sisi lingkung program wolbachia tu ngeberhentiin dbd tp nyiptain ekosistem yg imbang kerren ya
1,"@KemenkesRI Suka bnget sama konten edukasi seperti ini, yuk kita gaskeun bareng-bareng berantas dbd dgn wolbachia",suka bnget konten edukasi yuk gaskeun barengbareng berantas dbd dgn wolbachia
1,"@KemenkesRI mantap sih program wolbachia ini, ini tuh ngebuktiin bahwa solusi alamiah bisa menjadi pilihan yang bijak, apalagi utk menekan wabah berbahaya seperti DBD",mantap sih program wolbachia tuh ngebuktiin solusi alamiah pilih bijak utk tekan wabah bahaya dbd
1,@KemenkesRI menurutku nih ya inovasi wolbachia bisa ngebukain pintu baru utk pengendalian DBD. Yuk kita sama sama ngedukung lingkungan bebas DBD!,turut nih ya inovasi wolbachia ngebukain pintu utk kendali dbd yuk ngedukung lingkung bebas dbd
1,"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya",mantap wolbachia solusi nyata hadap dbd pribadi dukung implementasi
1,@KemenkesRI Gue pernah baca berita tentang wolbachia ini di jogja dan ternyata emang bnar efektif bgt sampe nurunn kasus dbd 70% cuy!,gue baca berita wolbachia jogja emang bnar efektif bgt sampe nurunn dbd 70 cuy
1,"@KemenkesRI asliii, gw pikir-pikir wolbachia ini bisa jadi game changer dlm perang ngelawan DBD",asliii gw pikirpikir wolbachia game changer dlm perang ngelawan dbd
1,@KemenkesRI Cannot agree more! Wolbachia bisa jadi solusi efektif buat kita semua dalam mengatasi wabah dbd,can not agree more wolbachia solusi efektif atas wabah dbd
1,"@KemenkesRI sudah waktunya generasi mendatang hidup bahagia tanpa DBD, semoga dg adanya program wolbachia can help us to save this world from DBD",generasi hidup bahagia dbd moga dg program wolbachia can help us to save this world from dbd
1,@KemenkesRI bagian kita terapin 3M bagian pemerintah kawal wolbachia biar aman dan DBD menghilang,terapin 3m perintah kawal wolbachia biar aman dbd hilang
1,"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya!",mantap wolbachia solusi nyata hadap dbd pribadi dukung implementasi
1,"@KemenkesRI DBD masih seberbahaya itu loh, yuk pada melek info kalo wolbachia bisa menangani DBD dg lebih efektif",dbd bahaya loh yuk melek info kalo wolbachia tangan dbd dg efektif
1,"@KemenkesRI serius sekeren itu loh wolbachia, menekan DBD dengan super duper efektif",serius keren loh wolbachia tekan dbd super duper efektif
1,"@KemenkesRI Alhamdulillah, wolbachia bisa menyelamatkan generasi muda supaya kedepannya tidak ada DBD lagi",alhamdulillah wolbachia selamat generasi muda depan dbd
1,Kebetulan baru visit ke puskesmas. Dan infonya memang program Wolbachia ini terasa bgt menurunkan  DBD. Semoga implementasinya semakin melias.,visit puskesmas info program wolbachia bgt turun dbd moga implementasi lias
1,Teknologi wolbachia disebut efektif untuk menangani DBD. Bagaimana nasib intervensi lain seperti metode fogging? Begini kata Kemenkes. https://t.co/DsIl8yyf7x,teknologi wolbachia efektif tangan dbd nasib intervensi metode fogging kemenkes
1,Kemenkes Sebut Nyamuk Wolbachia Terbukti Efektif Perangi DBD https://t.co/2s0ZcZefnw #beritasatu #berita #news,kemenkes nyamuk wolbachia bukti efektif rang dbd
1,"Ditentang oleh Beberapa Kelompok, Peneliti Jelaskan Bahwa Wolbachia Aman dan Bukan Rekayasa Genetik #Wolbachia #DBD #Dengue #UGM #Kemenkes https://t.co/SO50H6AMKF",tentang kelompok teliti wolbachia aman rekayasa genetik
1,"Bagaimana hal tersebut dapat terjadi? Mari kita simak kesaksian Ratna Dewi, petugas surveilans Kelurahan Cokrodiningratan, Jetis, Kota Yogyakarta.  #stophoax #ugm #fkkmkugm #tropmed #tropmedugm #tropmedstory #arbovirus #dengue #wolbachia #DBD #DemamBerdarah #WolbachiaNyamukBaik https://t.co/IIYZPqtjgX",mari simak saksi ratna dewi tugas surveilans lurah cokrodiningratan jetis kota yogyakarta
1,Kenalan dengan Wolbachia: Si Bakteri Pengendali DBD https://t.co/YI80NhUjvz,kenal wolbachia si bakteri kendali dbd
1,"Meski nyamuk Wolbachia efektif untuk menekan kasus DBD, namun Dinas Kesehatan (Dinkes) Kota Surabaya belum menerapkannya di Kota Pahlawan. #publisherstory #beritaanaksurabaya https://t.co/arnr444FlP",nyamuk wolbachia efektif tekan dbd dinas sehat dinkes kota surabaya terap kota pahlawan
1,Dr dr I Made Sudarmaja MKes mengatakan metode atau teknologi Wolbachia untuk menekan kasus DBD itu aman bagi manusia dan lingkungan. https://t.co/njqyTFfLHG - Akademisi Udayana: Metode Wolbachia Aman bagi Manusia dan Lingkungan https://t.co/Qtd52UKrat,dr dr i made sudarmaja mkes metode teknologi wolbachia tekan dbd aman manusia lingkung akademisi udayana metode wolbachia aman manusia lingkung
1,TVR 120-Komisi IX DPR RI: Wolbachia Terbukti Mampu Cegah Virus Demam Berdarah  Agenda pengembangbiakan nyamuk Wolbachia untuk menekan peredaran nyamuk DBD Aides Aigepti menuai kontroversi disebagian kalangan masyarakat.  #tvrparlemen #komisi9 #KunkerDPR  https://t.co/skyCDOVn9w,tvr 120komisi ix dpr ri wolbachia bukti cegah virus demam darah agenda pengembangbiakan nyamuk wolbachia tekan edar nyamuk dbd aides aigepti tuai kontroversi bagi kalang masyarakat
1,"Gak cuma di Indonesia, efektivitas dari nyamuk Wolbachia untuk menurunkan DBD juga udah dibuktikan di 13 negara, yakni:  Australia 🇦🇺 Colombia 🇨🇴 Brazil 🇧🇷 Sri Lanka 🇱🇰 El Salvador 🇸🇻 Honduras 🇭🇳 Vietnam 🇻🇳 Laos 🇱🇦 Kiribati 🇰🇮 Fiji 🇫🇯 New Caledonia 🇳🇨 Vanuatu 🇻🇺 dan Meksiko 🇲🇽",gak indonesia efektivitas nyamuk wolbachia turun dbd udah bukti 13 negara australia colombia brazil sri lanka el salvador honduras vietnam laos kiribati fiji new caledonia vanuatu meksiko
1,"@KemenkesRI CARA KERJANYA GIMANA?  Nyamuk Wolbachia dilepas, lalu nyamuk betina akan kawin dengan nyamuk lain di lingkungan dan menghasilkan keturunan nyamuk wolbachia baru yang gak menularkan DBD. https://t.co/ucs2f4zyZr",kerja gimana nyamuk wolbachia lepas nyamuk betina kawin nyamuk lingkung hasil turun nyamuk wolbachia gak tular dbd
1,"Makanya nih guys, Kementerian Kesehatan Republik Indonesia @KemenkesRI menggunakan inovasi nyamuk wolbachia ini buat ngendaliin kasus DBD yang masih banyak terjadi di Indonesia.",nih guys menteri sehat republik indonesia inovasi nyamuk wolbachia ngendaliin dbd indonesia
1,APAAN TUH NYAMUK WOLBACHIA?  Nyamuk Wolbachia itu nyamuk yang mengandung bakteri Wolbachia di dalem tubuhnya 🦠  Nah ternyata bakteri Wolbachia ini bisa memblok replikasi virus dengue (penyebab DBD) di dalam tubuh nyamuk 🚫 https://t.co/SmJOUxV8nC,tuh nyamuk wolbachia nyamuk wolbachia nyamuk kandung bakteri wolbachia dalem tubuh bakteri wolbachia blok replikasi virus dengue sebab dbd tubuh nyamuk
1,"Nyamuk Wolbachia udah berhasil nurunin kasus DBD di berbagai negara, termasuk di Indonesia🦟  Nyamuk??? Tapi nurunin kasus DBD???  Gimana caranya tuh? 🤔🤔🤔  Yuk kita bahas!   a thread 🧵 https://t.co/iBFE03i67n",nyamuk wolbachia udah hasil nurunin dbd negara indonesia nyamuk nurunin dbd gimana tuh yuk bahas a thread
1,Benarkah Nyamuk Wolbachia Cegah DBD atau Hanya Senjata Depopulasi Manusia Buatan Bill Gates dan Elite Global? https://t.co/j2CWtFpysv,nyamuk wolbachia cegah dbd senjata depopulasi manusia buat bill gates elite global
1,"Pasti sudah tahu 3M, kan? Menguras, menutup dan mendaur ulang, sebagai langkah-langkah untuk mencegah DBD. Kini ada metode pelengkapnya, yaitu Wolbachia. Ingin tahu lebih detail tentang metode ini?",3m uras tutup daur ulang langkahlangkah cegah dbd metode lengkap wolbachia detail metode
1,"@KemenkesRI sempet baca jurnal dan literatur resmi, awalnya gue ngeraguin efektivitas Wolbachia tp ternyata ini baik utk ngendaliin virus DBD",sempet baca jurnal literatur resmi gue ngeraguin efektivitas wolbachia tp utk ngendaliin virus dbd
1,"@KemenkesRI Gw dukung banget upaya diversifikasi strategi pengendalian DBD pake nyamuk Wolbachia, semoga bisa lancar programnya!",gw dukung banget upaya diversifikasi strategi kendali dbd pake nyamuk wolbachia moga lancar program
1,"@KemenkesRI Wah, baru tau gue ada yang beginian, teknologinya makin canggih. Semoga Wolbachia bisa jadi terobosan baru dalam menangani DBD",tau gue teknologi canggih moga wolbachia terobos tangan dbd
1,"@KemenkesRI Aku baru denger terkait Wolbachia , mungkin Bisa dishare edukasi yang lebih masif supaya masyarakat bisa paham lebih baik terkait nyamuk Wolbachia yang bisa jadi solusi alternatif pengendalian virus DBD",denger kait wolbachia dishare edukasi masif masyarakat paham kait nyamuk wolbachia solusi alternatif kendali virus dbd
1,"@KemenkesRI Sepengalaman gw ,ada tetangga gue yang kena DBD dan sekitar rumah di fogging itu ngeganggu bgt .mungkin Wolbachia bisa jadi salah satu alternatif yang lebih baik",alam gw tetangga gue kena dbd rumah fogging ngeganggu bgt wolbachia salah alternatif
1,"@KemenkesRI Betul, kita ga bisa kendaliin DBD cuma dengan 3M. Wolbachia bisa beriringan dengan 3M biar makin mantep dan nurunin sampe 0",ga kendaliin dbd 3m wolbachia iring 3m biar mantep nurunin sampe 0
1,@KemenkesRI terbukti rumah saya menjadi tempat yg dipasangi wolbachia. Dan sejauh ini sepertinya memang makin jarang anak anak sekitar sini yg kena DBD. Semoga memang gaada efek buruknya,bukti rumah yg pasang wolbachia jarang anak anak yg kena dbd moga gaada efek buruk
1,"@KemenkesRI DBD sudah menjadi salah satu wabah penyakit yang mematikan di Indonesia, semoga dengan adanya program wolbachia ini dapat mengatasi masalah ini",dbd salah wabah sakit mati indonesia moga program wolbachia atas
1,"@KemenkesRI Thankyou utk semua yang terlibat, wolbachia bisa jadi solusi dalam pengendalian penyakit DBD",thankyou utk libat wolbachia solusi kendali sakit dbd
1,"@KemenkesRI wolbachia bisa jadi solusi jitu sih buat memberantas DBD, semoga memberikan impact positif kedepannya",wolbachia solusi jitu sih berantas dbd moga impact positif depan
1,@KemenkesRI tolong dong kita yang di desa ini bingung banget kalau kena DBD karena msih minim tenaga medis yang bisa bantu sembuhin dari DBD tapi dengan adanya nyamuk wolbachia insyaallah aman,tolong desa bingung banget kena dbd msih minim tenaga medis bantu sembuhin dbd nyamuk wolbachia insyaallah aman
1,@KemenkesRI nyamuk wolbachia = pelengkap dari upaya pemerintah dalam mengatasi DBD,nyamuk wolbachia lengkap upaya perintah atas dbd
1,@KemenkesRI kena DBD tuh seengak enak itu loh makanya  kalau ada solusi wolbachia ini ayok kita welcome dengan baik,kena dbd tuh seengak enak loh solusi wolbachia ayok welcome
1,"Kasus DBD Tidak Tinggi, Alasan Nyamuk Wolbachia Tidak Diterapkan di Surabaya. 👇  Kepala Dinas Kesehatan Kota Surabaya, Nanik Sukristina mengatakan kota pahlawan tak masuk prioritas… https://t.co/Qzh5tUnvPI #PendidikanKesehatan #Nyamukdemamberdarah via @beritajatimcom",dbd alas nyamuk wolbachia terap surabaya kepala dinas sehat kota surabaya nanik sukristina kota pahlawan masuk prioritas via
1,Berantas DBD Dengan Nyamuk Wolbachia Merupakan Rekayasa Genetika | NEWS OR HOAX https://t.co/vnomTBU3ls,berantas dbd nyamuk wolbachia rekayasa genetika news or hoax
1,@fireofstruggle_ @AriesTruss Singkat nya dia ngasih edukasi Nyamuk ber bakteri wolbachia itu mengurangi DBD dengan anda digigit nyamuk Wolbachia anda kebal terhadap DBD 10 tahun sudah diuji coba di Yogyakarta dan hasilnya signifikan,singkat nya ngasih edukasi nyamuk ber bakteri wolbachia kurang dbd gigit nyamuk wolbachia kebal dbd 10 uji coba yogyakarta hasil signifikan
1,@sparklingcoca padahal jogja udh pake wolbachia mulai thn 2014 (cmiiw) dan emg terbukti menurunkan kasus dbd. kok ya malah sampe dihubungin ke sexual interest sih... bingung,jogja udh pake wolbachia thn 2014 cmiiw emg bukti turun dbd ya sampe dihubungin sexual interest sih bingung
0,"@IndiSae @ProfesorZubairi Di Australia Wolbachia disebar thn 2011, thn2 setelahnya kasus DBD malah naik, Srilanka disebar bln Feb thn 2020, trendnya juga sama, naik, ujung2nya jualan YKW (you know what)",australia wolbachia sebar thn 2011 thn2 telah dbd srilanka sebar bln feb thn 2020 trendnya ujung2nya jual ykw you know what
1,"Sebenarnya apa itu nyamuk Wolbachia, bagaimana teknologi Aedes aegypti Wolbachia ini bekerja, dan bagaimana metodenya ?? 🤔  #Jamkesjak #Jamkesjakinfo #UPJamkesjak #DBD #Wolbachia #Dengue #3MPlusWolbachia #Infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia https://t.co/vUKSfzFGMa",nyamuk wolbachia teknologi aedes aegypti wolbachia metode
1,@DokterTifa gw sih yakin wolbachia ini memenangkan kita dari DBD,gw sih wolbachia menang dbd
1,@DokterTifa ngga usah deh pake takut digigit nyamuk wolbachia. takutnya sama aides tuh bawa dbd,ngga deh pake takut gigit nyamuk wolbachia takut aides tuh bawa dbd
1,@DokterTifa gampangnya Nyamuk wolbachia = nyamuk baik Nyamuk DBD = nyamuk jahat,gampang nyamuk wolbachia nyamuk nyamuk dbd nyamuk jahat
1,"@DokterTifa kita rakyat Indonesia berharap Indonesia bebas dari DBD, tolonglah kalo dipikir2 tanpa wolbachia justru lebih banyak nyamuk yang berkembang biak apalagi bawa DBD",rakyat indonesia harap indonesia bebas dbd tolong kalo dipikir2 wolbachia nyamuk kembang biak bawa dbd
1,"@DokterTifa bener bener gak ngerti lagi sih, tujuan dari perdebatan ini apa? biar publik kebawa sama opini kalian? memang aku bukan expert di bagian riset tapi menurut ku nyamuk wolbachia cukup efektif loh neken jumlah perkembangan kasus DBD di jogja bahkan diluar negeri",bener bener gak ngerti sih tuju debat biar publik bawa opini expert riset ku nyamuk wolbachia efektif loh neken kembang dbd jogja luar negeri
1,"@DokterTifa seriusan gimana ya cara kita bebas dari DBD, menurut ku why not kita coba untuk pake metode nyamuk wolbachia ini",serius gimana ya bebas dbd ku why not coba pake metode nyamuk wolbachia
1,"@DokterTifa please, kurangi debat perbanyak literasi, nyamuk wolbachia ini bukan kaleng kaleng dalam menghadapi DBD loh",please kurang debat banyak literasi nyamuk wolbachia kaleng kaleng hadap dbd loh
1,@DokterTifa aku tim yang dukung nyamuk wolbachia biar drama DBD ini kelar,tim dukung nyamuk wolbachia biar drama dbd kelar
1,"@DokterTifa tadinya percaya ga percaya sama nyamuk wolbachia, tapi ada temenku di yogyakarta ngerasain dampak dari meode ini dan memang benar angka kasus DBD di yogya beneran turun drastis.",percaya ga percaya nyamuk wolbachia temenku yogyakarta ngerasain dampak meode angka dbd yogya beneran turun drastis
1,"@DokterTifa Gw juga sempet ngulik info ini. Di Jogja, program Wolbachia udah jalan, dan hasilnya? Kasus DBD turun sekitar 70% cuy",gw sempet ngulik info jogja program wolbachia udah jalan hasil dbd turun 70 cuy
1,@DokterTifa yuk selesaikan masalah DBD ini dengan nyamuk wolbachia jangan kebawa opini publik saranku,yuk selesai dbd nyamuk wolbachia bawa opini publik saran
1,"@DokterTifa jangan jauh jauh deh, di jogja udah diterapin selama 10tahun dan hasil penelitian menunjukkan kalau nyamuk wolbachia ini sukses nurunin kasus DBD sampai 77%",deh jogja udah diterapin 10tahun hasil teliti nyamuk wolbachia sukses nurunin dbd 77
1,"@DokterTifa Aku sih setuju banget dengan adanya nyamuk wolbachia, karena itu gak merugikan kita sama sekali malah membuat nyambuk ai des yang membawa DBD itu berkurang bahkan dalam jangka panjang bisa punah itu nyamuk aides",sih tuju banget nyamuk wolbachia gak rugi nyambuk ai des bawa dbd kurang jangka punah nyamuk aides
1,"@DokterTifa Yg buat DBD itu cm nyamuk betina, nah nyamuk wolbachia yg dilepasin nyamuk jantan biar kawin sm betina. krn jantannya ada bakteri wolbachia telornya gbs netas jd ujung2nya berkurang dah nyamuknya. Bgitu kl kata websitenya (https://t.co/MFC0aFHVM2). cb banyakin baca drpd kena hoax",yg dbd cm nyamuk betina nyamuk wolbachia yg dilepasin nyamuk jantan biar kawin sm betina krn jantan bakteri wolbachia telor gbs netas jd ujung2nya kurang dah nyamuk bgitu kl websitenya cb banyakin baca drpd kena hoax
1,"@DokterTifa aku tim percaya sama kemenkes sih, soalnya udah baca baca juga penelitian tentang nyamuk  wolbachia dan ada fakta fakta jelas yang membuat yakin kalau nyamuk wolbachia aman nurunin DBD",tim percaya kemenkes sih udah baca baca teliti nyamuk wolbachia fakta fakta nyamuk wolbachia aman nurunin dbd
1,"@DokterTifa di singapore dan malaysia udah mulai leha-leha karena udah tenang menghadapi DBD pakai metode nyamuk wolbachia, lah disini masih sibuk debat sana sini",singapore malaysia udah lehaleha udah tenang hadap dbd pakai metode nyamuk wolbachia sibuk debat
1,"@DokterTifa Sebenarnya kalau kita riset di Jogja, nyamuk Wolbachia beneran bikin kasus dan kematian akibat DBD turun drastis. Kita bisa belajar dari kejadian ini.",riset jogja nyamuk wolbachia beneran bikin mati akibat dbd turun drastis ajar jadi
1,@DokterTifa nyamuk wolbachia itu bukan nyamuk yang perlu ditakutin padahal karena sebenernya dia kan cuma bawa bakteri yang mematikan buat pertumbuhan DBD di nyamuk aides yang bisa bikin DBD ketar ketir,nyamuk wolbachia nyamuk ditakutin sebenernya bawa bakteri mati tumbuh dbd nyamuk aides bikin dbd ketar tir
