Status,full_text
Fact,"Pasti sudah tahu 3M, kan? Menguras, menutup dan mendaur ulang, sebagai langkah-langkah untuk mencegah DBD. Kini ada metode pelengkapnya, yaitu Wolbachia. Ingin tahu lebih detail tentang metode ini?"
Fact,"@KemenkesRI sempet baca jurnal dan literatur resmi, awalnya gue ngeraguin efektivitas Wolbachia tp ternyata ini baik utk ngendaliin virus DBD"
Fact,"@KemenkesRI Gw dukung banget upaya diversifikasi strategi pengendalian DBD pake nyamuk Wolbachia, semoga bisa lancar programnya!"
Fact,"@KemenkesRI Wah, baru tau gue ada yang beginian, teknologinya makin canggih. Semoga Wolbachia bisa jadi terobosan baru dalam menangani DBD"
Fact,"@KemenkesRI Aku baru denger terkait Wolbachia , mungkin Bisa dishare edukasi yang lebih masif supaya masyarakat bisa paham lebih baik terkait nyamuk Wolbachia yang bisa jadi solusi alternatif pengendalian virus DBD"
Fact,"@KemenkesRI Sepengalaman gw ,ada tetangga gue yang kena DBD dan sekitar rumah di fogging itu ngeganggu bgt .mungkin Wolbachia bisa jadi salah satu alternatif yang lebih baik"
Fact,"@KemenkesRI Betul, kita ga bisa kendaliin DBD cuma dengan 3M. Wolbachia bisa beriringan dengan 3M biar makin mantep dan nurunin sampe 0"
Fact,@KemenkesRI terbukti rumah saya menjadi tempat yg dipasangi wolbachia. Dan sejauh ini sepertinya memang makin jarang anak anak sekitar sini yg kena DBD. Semoga memang gaada efek buruknya
Fact,"@KemenkesRI DBD sudah menjadi salah satu wabah penyakit yang mematikan di Indonesia, semoga dengan adanya program wolbachia ini dapat mengatasi masalah ini"
Fact,"@KemenkesRI Thankyou utk semua yang terlibat, wolbachia bisa jadi solusi dalam pengendalian penyakit DBD"
Fact,"@KemenkesRI wolbachia bisa jadi solusi jitu sih buat memberantas DBD, semoga memberikan impact positif kedepannya"
Fact,@KemenkesRI tolong dong kita yang di desa ini bingung banget kalau kena DBD karena msih minim tenaga medis yang bisa bantu sembuhin dari DBD tapi dengan adanya nyamuk wolbachia insyaallah aman
Fact,@KemenkesRI nyamuk wolbachia = pelengkap dari upaya pemerintah dalam mengatasi DBD
Fact,@KemenkesRI kena DBD tuh seengak enak itu loh makanya  kalau ada solusi wolbachia ini ayok kita welcome dengan baik
Fact,"Kasus DBD Tidak Tinggi, Alasan Nyamuk Wolbachia Tidak Diterapkan di Surabaya. 👇  Kepala Dinas Kesehatan Kota Surabaya, Nanik Sukristina mengatakan kota pahlawan tak masuk prioritas… https://t.co/Qzh5tUnvPI #PendidikanKesehatan #Nyamukdemamberdarah via @beritajatimcom"
Fact,Berantas DBD Dengan Nyamuk Wolbachia Merupakan Rekayasa Genetika | NEWS OR HOAX https://t.co/vnomTBU3ls
Fact,@fireofstruggle_ @AriesTruss Singkat nya dia ngasih edukasi Nyamuk ber bakteri wolbachia itu mengurangi DBD dengan anda digigit nyamuk Wolbachia anda kebal terhadap DBD 10 tahun sudah diuji coba di Yogyakarta dan hasilnya signifikan
Fact,@sparklingcoca padahal jogja udh pake wolbachia mulai thn 2014 (cmiiw) dan emg terbukti menurunkan kasus dbd. kok ya malah sampe dihubungin ke sexual interest sih... bingung
Fake,"@IndiSae @ProfesorZubairi Di Australia Wolbachia disebar thn 2011, thn2 setelahnya kasus DBD malah naik, Srilanka disebar bln Feb thn 2020, trendnya juga sama, naik, ujung2nya jualan YKW (you know what)"
Fact,"Sebenarnya apa itu nyamuk Wolbachia, bagaimana teknologi Aedes aegypti Wolbachia ini bekerja, dan bagaimana metodenya ?? 🤔  #Jamkesjak #Jamkesjakinfo #UPJamkesjak #DBD #Wolbachia #Dengue #3MPlusWolbachia #Infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia https://t.co/vUKSfzFGMa"
Fact,@DokterTifa gw sih yakin wolbachia ini memenangkan kita dari DBD
Fact,@DokterTifa ngga usah deh pake takut digigit nyamuk wolbachia. takutnya sama aides tuh bawa dbd
Fact,@DokterTifa gampangnya Nyamuk wolbachia = nyamuk baik Nyamuk DBD = nyamuk jahat
Fact,"@DokterTifa kita rakyat Indonesia berharap Indonesia bebas dari DBD, tolonglah kalo dipikir2 tanpa wolbachia justru lebih banyak nyamuk yang berkembang biak apalagi bawa DBD"
Fact,"@DokterTifa bener bener gak ngerti lagi sih, tujuan dari perdebatan ini apa? biar publik kebawa sama opini kalian? memang aku bukan expert di bagian riset tapi menurut ku nyamuk wolbachia cukup efektif loh neken jumlah perkembangan kasus DBD di jogja bahkan diluar negeri"
Fact,"@DokterTifa seriusan gimana ya cara kita bebas dari DBD, menurut ku why not kita coba untuk pake metode nyamuk wolbachia ini"
Fact,"@DokterTifa please, kurangi debat perbanyak literasi, nyamuk wolbachia ini bukan kaleng kaleng dalam menghadapi DBD loh"
Fact,@DokterTifa aku tim yang dukung nyamuk wolbachia biar drama DBD ini kelar
Fact,"@DokterTifa tadinya percaya ga percaya sama nyamuk wolbachia, tapi ada temenku di yogyakarta ngerasain dampak dari meode ini dan memang benar angka kasus DBD di yogya beneran turun drastis."
Fact,"@DokterTifa Gw juga sempet ngulik info ini. Di Jogja, program Wolbachia udah jalan, dan hasilnya? Kasus DBD turun sekitar 70% cuy"
Fact,@DokterTifa yuk selesaikan masalah DBD ini dengan nyamuk wolbachia jangan kebawa opini publik saranku
Fact,"@DokterTifa jangan jauh jauh deh, di jogja udah diterapin selama 10tahun dan hasil penelitian menunjukkan kalau nyamuk wolbachia ini sukses nurunin kasus DBD sampai 77%"
Fact,"@DokterTifa Aku sih setuju banget dengan adanya nyamuk wolbachia, karena itu gak merugikan kita sama sekali malah membuat nyambuk ai des yang membawa DBD itu berkurang bahkan dalam jangka panjang bisa punah itu nyamuk aides"
Fact,"@DokterTifa Yg buat DBD itu cm nyamuk betina, nah nyamuk wolbachia yg dilepasin nyamuk jantan biar kawin sm betina. krn jantannya ada bakteri wolbachia telornya gbs netas jd ujung2nya berkurang dah nyamuknya. Bgitu kl kata websitenya (https://t.co/MFC0aFHVM2). cb banyakin baca drpd kena hoax"
Fact,"@DokterTifa aku tim percaya sama kemenkes sih, soalnya udah baca baca juga penelitian tentang nyamuk  wolbachia dan ada fakta fakta jelas yang membuat yakin kalau nyamuk wolbachia aman nurunin DBD"
Fact,"@DokterTifa di singapore dan malaysia udah mulai leha-leha karena udah tenang menghadapi DBD pakai metode nyamuk wolbachia, lah disini masih sibuk debat sana sini"
Fact,"@DokterTifa Sebenarnya kalau kita riset di Jogja, nyamuk Wolbachia beneran bikin kasus dan kematian akibat DBD turun drastis. Kita bisa belajar dari kejadian ini."
Fact,@DokterTifa nyamuk wolbachia itu bukan nyamuk yang perlu ditakutin padahal karena sebenernya dia kan cuma bawa bakteri yang mematikan buat pertumbuhan DBD di nyamuk aides yang bisa bikin DBD ketar ketir
Fact,"@DokterTifa Saya harap program Wolbachia dapat diperluas ke seluruh Indonesia. DBD adalah masalah kesehatan masyarakat yang serius, dan kita membutuhkan solusi yang efektif untuk mengatasinya."
Fact,"@DokterTifa masalahnya kalau nyamuk wolbachia itu berdampak negatif, kenapa diluar negeri kasus DBD berkurang sejak diaplikasikan metode wolbachia ini"
Fact,"@DokterTifa beneran deh tolongg DBD tuh gak enak, dan dengan ada nya nyamuk wolbachia apalagi ditemenin fakta fakta yang ada, kenapa kita masih ragu?"
Fact,Metode wolbachia atasi DBD bergantung pada populasi. https://t.co/TewXjWwj6g
Fact,Belakangan ini ramai dibahas soal nyamuk wolbachia yang punya claim bisa menekan jumlah kasus DBD  Apa itu sebenarnya nyamuk wolbachia dan bagaimana caranya untuk membasmi DBD?👇🏻 https://t.co/jBl6SOcQdr
Fact,"Begini Cara Kerja Nyamuk Wolbachia, Diklaim Bisa Atasi Tekan Kasus DBD https://t.co/7Cb6al39TQ"
Fake,Usir nyamuk dengan cara ini gak perlu lagi nyamuk Wolbachia utk berantas DBD.
Fact,Penggunaan bakteri wolbachia untuk menekan kasus demam berdarah dengue (DBD) di Indonesia masih menghadapi perdebatan karena banyak yang menganggap teknik tersebut sebagai rekayasa genetika. https://t.co/1jLsbeXmb5
Fact,"Sepanjang 2023 Hanya Ada 71 Kasus DBD, Turun karena Wolbachia https://t.co/FjNwV0H0iW #beritajogja #jogja #jogjaistimewa https://t.co/NUnIuXKAxi"
Fact,"Bali Tolak Rencana Kemenkes Lepas 200 Juta Nyamuk Wolbachia untuk Lawan DBD, Merasa Jadi 'Tikus Percobaan' https://t.co/dHmEPUPscU"
Fact,"@DokterTifa Nyamuk Wolbachia ini berdasarkan riset yg gw baca sih trnyata emang berbahaya, berbahaya buat nyamuk Aides yg buat DBD, buat kita mah gk berbahaya"
Fact,@DokterTifa Tolonglah dunia per-DBD-an ini bisa usai loh dgn kombinasi 3M + nyamuk Wolbachia ini
Fact,"@DokterTifa Nyamuk aides tuh mereka kan berkembangbiak ya, tapi dengan ada nya nyamuk wolbachia ini bisa bikin nyamuk aides kawin sama wolbachia dan akhirnya DBD yang dibawa sama si aides ini ilang, iyakan.."
Fact,"@DokterTifa yuk kita saling support, pemerintah udah berani ambil langkah memberantas DBD dengan nyamuk wolbachia, bagian kita adalah mendukung dan support solusi yang ada"
Fact,"@DokterTifa saranku sih ya kurang kurangin deh dok mengiring opini publik bikin trust issue, udah terbuka kok kalau nyamuk wolbachia ini ampuh nurnunin jumlah DBD"
Fact,@DokterTifa wolbachia ini bagus kok buat nurunin kasus DBD
Fact,"Rekayasa genetik nyamuk wolbachia. Wolbachia adalah bakteri alami yang berperan menekan persebaran virus penyebab DBD  Nyamuk ber-wolbachia ada sejak 2011, dimulai di Yogyakarta. Di daerah yg disebar dapat menurunkan kasus DBD sampai 77%   via @kominfo_jtg https://t.co/bzoIckNwgi"
Fact,Ia lalu melanjutkan jika penelitian teknologi Wolbachia di Indonesia dilakukan sepenuhnya oleh Yayasan Tahija. #stophoax #ugm #fkkmkugm #tropmed #tropmedugm #bloodfeedchallenge #bloodfeed #arbovirus #dengue #wolbachia #DBD #DemamBerdarah #WolbachiaNyamukBaik https://t.co/WRCSr2r8iY
Fact,"@DokterTifa gak usah jauh jauh ke luar negeri, coba riset tentang wolbachia di jogja sejak di sebarin kasus DBD di sana kian tahun kian menurun loh"
Fact,@DokterTifa intinya selama ini kan yang kita tau buat mengatasi DBD cuma 3M ini ada topping nyamuk wolbachia yang bikin DBD tuh semakin minggat
Fact,"@DokterTifa nyamuk wolbachia ini tuh bukan ancaman buat kita, malah nyamuk wolbachia ini ya bantuin kita menghadapi DBD"
Fact,@DokterTifa Kasus DBD di Jogja turun berkat wolbachia. Saatnya daerah daerah lain jugaa merasakan manfaatnya. Efektif dan terbukti loh.
Fact,"@DokterTifa Bakteri Wolbachia ada pada nyamuk Aedes. Untuk mencegah virus dengue, penyebab DBD. Supaya jelas nanti saat pembahasan tidak kemana2 banyak banyak  sharing dari ahlinya."
Fact,Nyamuk dengan bakteri 'Wolbachia' diklaim dapat menurunkan penyebaran kasus DBD. Bagaimana cara kerja nyamuk ber-Wolbachia melawan DBD? Simak #Infografis #CNNIndonesia: https://t.co/cuQHNEiIaz https://t.co/kTtaffE6DR
Fact,@BrotoSeno_joyo @DokterTifa kak melawan apa nih? wolbachia ini berhasil menangani DBD diluar negeri loh
Fake,"Klaim Kemenkes &amp  UGM: Nyamuk Wolbachia Efektif Turunkan DBD 77% di Yogyakarta  Di Bali DBD menurun/bervariasi mirip Yogyakarta tanpa adanya Nyamuk Wolbachia, diklaim akibat perubahan iklim  Artinya Kemenkes &amp  UGM adalah 🤡 dan klaimnya adalah 💩 https://t.co/PAgPKoFs9v"
Fact,@abi_maulana11 @DokterTifa udah coba telusuri di google? nyamuk wolbachia ini works luh diluar negeri dalam mengatasi nyamuk nyamuk DBD
Fact,@FarizAG5 @DokterTifa bedakan budidaya nyamuk wolbachia untuk menekan produktivitas dari nyamuk DBD sama asal membudidaya nyamuk ya
Fact,@Ilhamtob @DokterTifa @Ruang79 Loh wolbachia ini salah satu cara alam untuk membunuh DBD
Fake,"@evparda @sigemoyyyyyyy15 Program nyamuk aedes aegpty yg diisi bakteri wolbachia spy mrk itu sendiri mandul (cegah DBD), tp bahayanya nyamuk culex jd lebih byk (tdk punya saingan), culex bs jd perantara encephalitis (radang otak), malang tidak masuk list... Mari kritis tp bertanggung jawab... :)"
Fact,"@DokterTifa ngehadapin DBD tuh kita perlu kompak sih guys, karena kalau gini terus yaudh DBD terus semakin meningkat dan kita gak ngapa ngapain, toh wolbachia udah berhasil di negara negara lain kenapa kita gak mau coba aja sih"
Fact,"@DokterTifa makin kesini makin yakin kalau wolbachia itu bisa menurunkan kasus DBD, karena udah riset dari berbagai sumber, bahkan ternyata udah ada penelitiannya"
Fact,"@DokterTifa coba itu yang masih pada kontra, udah baca penelitian dengan seksama belum? banyak loh riset yang membuktikan wolbachia itu ampuh melawan DBD."
Fact,"@DokterTifa Wolbachia gak merugikan guys, malah dengan adanya wolbachia DBD tuh semakin bye byeee"
Fact,"Pernah dengar kabar rekayasa genetik nyamuk wolbachia?  Wolbachia adalah bakteri alami yang berperan menekan persebaran virus penyebab DBD  Nyamuk ber-wolbachia telah ada sejak 2011, yang dimulai di Yogyakarta. Nah di daerah yg telah disebar dapat menurunkan kasus DBD sampai 77%. https://t.co/iSu6Jbf5pq"
Fact,Pemerintah pusat melalui Kementerian Kesehatan telah mulai melakukan inovasi untuk menekan penyebaran demam berdarah dengue (DBD) dengan menyebar nyamuk wolbachia.  https://t.co/X8NDDOhzgm
Fact,"@DokterTifa Sebenernya nyamuk wolbachia gak mengancam guys buat manusia, dia tuh gak beda jauh sama nyamuk pada umumnya bedanya nyamuk wolbachia ini mengancam DBD aja udah"
Fact,@DokterTifa makin cari tau soal nyamuk wolbachia makin tau kalo nyamuk ini modifikasi genetik yang bikin demam berdarah jadi bingung. Mereka datang dengan bakteri dan bawa perang melawan penyakit DBD keren pisan!
Fact,"@geloraco Gw juga sempet ngulik info ini. Di Jogja, program Wolbachia udah jalan, dan hasilnya keren banget! Kasus DBD turun sekitar 70% cuy"
Fact,"@geloraco tadinya percaya ga percaya sama nyamuk wolbachia, tapi kerabatku di yogyakarta ngerasain dampak dari metode ini dan memang benar angka kasus DBD di yogya beneran turun drastis"
Fact,8. Diklaim efektif dan terbukti di 13 negara Direktur Pencegahan dan Pengendalian Penyakit Menular (P2PM) Kemenkes Imran Pambudi menyebut efektivitas implementasi wolbachia untuk menurunkan kejadian DBD sudah dibuktikan di 13 negara selain Indonesia.
Fact,🗣 Riris: “Hasil uji efikasi wolbachia menunjukkan hasil menggembirakan. Wolbachia efektif menurunkan 77 persen kasus demam berdarah dan 86 persen kasus DBD dirawat di rumah sakit.”
Fact,"Akibatnya, wolbachia dinilai mampu menghentikan penularan virus DBD saat nyamuk menghisap darah manusia."
Fact,4. Diklaim mampu memutus rantai DBD  Efektivitas teknologi wolbachia diklaim telah diteliti oleh WMP dan Universitas Gadjah Mada (UGM) sejak 2011.  Wolbachia bertindak sebagai pemutus rantai replikasi virus demam berdarah di dalam tubuh nyamuk.
Fact,3. Didanai Bill &amp  Melinda Gates Foundation  Penelitian terkait wolbachia dalam menekan penularan DBD mendapatkan pendanaan dari Bill and Melinda Gates Foundation dan Wellcome Trust sejak 2010.
