id_text,Status,cleaned_text_x,tweet_url,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,cleaned_text_y
14,Unverified,"yuk, klik link https://t.co/c9oyszueb6 untuk mendapat jawabannya.",https://twitter.com/centertropmed/status/1752586840232894548,Wed Jan 31 06:57:18 +0000 2024,1752586840232894548,"Yuk, klik link https://t.co/c9oYsZueb6 untuk mendapat jawabannya.  #theconversation #fkkmkugm #tropmed #tropmedugm #artikel #wolbachia #DBD #dengue #DemamBerdarah #WolbachiaNyamukBaik",0,0,0,0,in,1184330792224190465,1752586833882722553,centertropmed,"yuk, klik link https://t.co/c9oyszueb6 untuk mendapat jawabannya."
15,Fact,"kementerian kesehatan ri telah memperluas teknologi wolbachia untuk mengendalikan penyakit demam berdarah dengue (dbd) di lima kota di luar yogyakarta yakni semarang, jakarta barat, bandung, kupang, dan bontang sejak mei 2023. (cont) https://t.co/lvkyh1rq4y",https://twitter.com/centertropmed/status/1752586833882722553,Wed Jan 31 06:57:17 +0000 2024,1752586833882722553,"Kementerian Kesehatan RI telah memperluas teknologi Wolbachia untuk mengendalikan penyakit demam berdarah dengue (DBD) di lima kota di luar Yogyakarta yakni Semarang, Jakarta Barat, Bandung, Kupang, dan Bontang sejak Mei 2023. (cont) https://t.co/lvKYh1RQ4y",0,1,1,3,in,1184330792224190465,1752586833882722553,centertropmed,"kementerian kesehatan ri telah memperluas teknologi wolbachia untuk mengendalikan penyakit demam berdarah dengue (dbd) di lima kota di luar yogyakarta yakni semarang, jakarta barat, bandung, kupang, dan bontang sejak mei 2023. (cont) https://t.co/lvkyh1rq4y"
16,Fact,"mengantisipasi dbd, wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   lebih aman, alami, dan gak pake intervensi anjuran si killgates  colek dokter asn kesayangan",https://twitter.com/HadiNugrohoCoyy/status/1752305254430060927,Tue Jan 30 12:18:23 +0000 2024,1752305254430060927,"Mengantisipasi DBD, Wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   Lebih aman, alami, dan gak pake intervensi anjuran si KillGates  Colek dokter ASN kesayangan @dokter_kampung",0,1,2,9,in,520900340,1752305254430060927,HadiNugrohoCoyy,"mengantisipasi dbd, wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   lebih aman, alami, dan gak pake intervensi anjuran si killgates  colek dokter asn kesayangan"
17,Fact,wolbachia pelengkap pengendalian dbd: dua misinformasi perlu diluruskan https://t.co/jotyciplar,https://twitter.com/wotasepur/status/1752130358441914856,Tue Jan 30 00:43:25 +0000 2024,1752130358441914856,Wolbachia pelengkap pengendalian DBD: dua misinformasi perlu diluruskan https://t.co/JOtYciplar,0,0,0,0,in,1604473330936909824,1752130358441914856,wotasepur,wolbachia pelengkap pengendalian dbd: dua misinformasi perlu diluruskan https://t.co/jotyciplar
18,Fact,"terbukti efektif menekan dbd, begini sejarah penyebaran nyamuk wolbachia di sleman https://t.co/3kdpeuebyg    https://t.co/npmp1oiywn",https://twitter.com/Harian_Jogja/status/1750758767447396580,Fri Jan 26 05:53:12 +0000 2024,1750758767447396580,"Terbukti Efektif Menekan DBD, Begini Sejarah Penyebaran Nyamuk Wolbachia di Sleman https://t.co/3kdpeuEbYG #beritajogja #jogja #jogjaistimewa https://t.co/npmp1OIYWn",0,0,1,1,in,118371948,1750758767447396580,Harian_Jogja,"terbukti efektif menekan dbd, begini sejarah penyebaran nyamuk wolbachia di sleman https://t.co/3kdpeuebyg    https://t.co/npmp1oiywn"
19,Unverified,"habis kanker serviks, nyamuk wolbachia buat tangkal dbd, lalu polio apalagi klb selanjutnya? demen banget bikin fearmongering...",https://twitter.com/nic04722/status/1748696376895271403,Sat Jan 20 13:18:00 +0000 2024,1748696376895271403,"@elizabethlisa76 Habis kanker serviks, nyamuk Wolbachia buat tangkal DBD, lalu polio apalagi KLB selanjutnya? Demen banget bikin fearmongering...",0,0,0,4,in,877173446,1748666375915307206,nic04722,"habis kanker serviks, nyamuk wolbachia buat tangkal dbd, lalu polio apalagi klb selanjutnya? demen banget bikin fearmongering..."
20,Fact,kesehatan : kemenkes rencanakan bangun pabrik telur nyamuk wolbachia demi berantas dbd https://t.co/qwsfvcnmm3 | withinnews - liputan6.,https://twitter.com/within_news/status/1747959719216476320,Thu Jan 18 12:30:47 +0000 2024,1747959719216476320,KESEHATAN : Kemenkes Rencanakan Bangun Pabrik Telur Nyamuk Wolbachia demi Berantas DBD https://t.co/qWsfVcnmm3 | Withinnews - liputan6.,0,0,0,0,in,1636826702260195328,1747959719216476320,within_news,kesehatan : kemenkes rencanakan bangun pabrik telur nyamuk wolbachia demi berantas dbd https://t.co/qwsfvcnmm3 | withinnews - liputan6.
21,Fact,"upaya berantas dbd, kemenkes berencana bangun pabrik telur nyamuk wolbachia https://t.co/zgb8mbl32r",https://twitter.com/kaltenglima/status/1747891292431061056,Thu Jan 18 07:58:53 +0000 2024,1747891292431061056,"Upaya Berantas DBD, Kemenkes Berencana Bangun Pabrik Telur Nyamuk Wolbachia https://t.co/ZGb8mBl32r",0,0,0,0,in,1497871452095139841,1747891292431061056,kaltenglima,"upaya berantas dbd, kemenkes berencana bangun pabrik telur nyamuk wolbachia https://t.co/zgb8mbl32r"
22,Fact,"pusat kedokteran tropis (pkt) ugm bekerjasama dengan perkumpulan dokter seluruh indonesia (pdsi) akan mengadakan webinar yang mengangkat tema: “wolbachia, inovasi cegah dbd karya anak bangsa” https://t.co/ku2n2ct0l5",https://twitter.com/centertropmed/status/1747528598272290890,Wed Jan 17 07:57:39 +0000 2024,1747528598272290890,"Pusat Kedokteran Tropis (PKT) UGM bekerjasama dengan Perkumpulan Dokter Seluruh Indonesia (PDSI) akan mengadakan webinar yang mengangkat tema: “Wolbachia, Inovasi Cegah DBD Karya Anak Bangsa” https://t.co/KU2n2ct0L5",0,1,0,0,in,1184330792224190465,1747528598272290890,centertropmed,"pusat kedokteran tropis (pkt) ugm bekerjasama dengan perkumpulan dokter seluruh indonesia (pdsi) akan mengadakan webinar yang mengangkat tema: “wolbachia, inovasi cegah dbd karya anak bangsa” https://t.co/ku2n2ct0l5"
23,Unverified,ibarat lawan dbd dengan nyamuk wolbachia 🤣,https://twitter.com/nic04722/status/1747214844330459245,Tue Jan 16 11:10:55 +0000 2024,1747214844330459245,@AriesTruss Ibarat lawan DBD dengan nyamuk Wolbachia 🤣,0,0,0,0,in,877173446,1747141429368148060,nic04722,ibarat lawan dbd dengan nyamuk wolbachia 🤣
24,Fact,"sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk dbd di wilayah kecamatan rancasari, 16 januari 2024    https://t.co/t2ykdzzw2e",https://twitter.com/rancasari_OK/status/1747152126302892134,Tue Jan 16 07:01:42 +0000 2024,1747152126302892134,"Sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk DBD di Wilayah Kecamatan Rancasari, 16 januari 2024   @rancasari_juara https://t.co/T2yKDzzw2E",0,1,0,0,in,1902848498,1747152126302892134,rancasari_OK,"sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk dbd di wilayah kecamatan rancasari, 16 januari 2024    https://t.co/t2ykdzzw2e"
25,Fact,"sahabat pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab dbd - wolbachia. ini aman, efektif, dan ramah lingkungan 🌿🥰           https://t.co/p1ocwito9s",https://twitter.com/pramitalab_id/status/1747107701212217612,Tue Jan 16 04:05:10 +0000 2024,1747107701212217612,"Sahabat Pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab DBD - Wolbachia. Ini aman, efektif, dan ramah lingkungan 🌿🥰  #Wolbachia #MelawanDBD #AnakMudaBeraksi #PramitaLab #ProudlyServingYou #BeHealthy #Behappy #InfoKesehatan #Sehat https://t.co/P1oCWito9s",0,0,0,2,in,236226247,1747107701212217612,pramitalab_id,"sahabat pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab dbd - wolbachia. ini aman, efektif, dan ramah lingkungan 🌿🥰           https://t.co/p1ocwito9s"
26,Fact,nyamuk wolbachia itu.  emang disebar ke daerah2 buat menekan populasi nyamuk dbd.,https://twitter.com/megumi_akashi/status/1745283859141587421,Thu Jan 11 03:17:52 +0000 2024,1745283859141587421,@tanyarlfes Nyamuk Wolbachia itu.  Emang disebar ke daerah2 buat menekan populasi nyamuk DBD.,0,1,0,0,in,1603391540717621249,1745282748682821932,megumi_akashi,nyamuk wolbachia itu.  emang disebar ke daerah2 buat menekan populasi nyamuk dbd.
27,Fact,"sukses tekan kasus dbd, masyarakat diimbau dukung inovasi nyamuk wolbachia di sulawesi tenggara https://t.co/aj3eysonjh",https://twitter.com/telisik_id/status/1743463666643788259,Sat Jan 06 02:45:04 +0000 2024,1743463666643788259,"Sukses Tekan Kasus DBD, Masyarakat Diimbau Dukung Inovasi Nyamuk Wolbachia di Sulawesi Tenggara https://t.co/Aj3EySONjh",0,1,0,0,in,1234774867704049664,1743463666643788259,telisik_id,"sukses tekan kasus dbd, masyarakat diimbau dukung inovasi nyamuk wolbachia di sulawesi tenggara https://t.co/aj3eysonjh"
28,Unverified,"setelah sebelumnya rame wolbachia"" tiba tiba dbd merajalela dimana mana. padahal baru ada hujan di akhir akhir tahun dan itupun ga sering 🤔🤔🤔🤔""",https://twitter.com/ConfessionOfMen/status/1742212798665654432,Tue Jan 02 15:54:34 +0000 2024,1742212798665654432,"Setelah sebelumnya rame Wolbachia"" tiba tiba DBD merajalela dimana mana. Padahal baru ada hujan di akhir akhir tahun dan itupun ga sering 🤔🤔🤔🤔""",0,0,0,0,in,1584097836827758593,1742212798665654432,ConfessionOfMen,"setelah sebelumnya rame wolbachia"" tiba tiba dbd merajalela dimana mana. padahal baru ada hujan di akhir akhir tahun dan itupun ga sering 🤔🤔🤔🤔"""
29,Fact,[foto] dapur pengembangbiakan nyamuk wolbachia untuk dbd di salatiga https://t.co/frotddojtt,https://twitter.com/IDNTimesJateng/status/1739468462643372080,Tue Dec 26 02:09:33 +0000 2023,1739468462643372080,[FOTO] Dapur Pengembangbiakan Nyamuk Wolbachia untuk DBD di Salatiga https://t.co/FROtDdojTt,0,2,1,1,in,1318855369641263105,1739468462643372080,IDNTimesJateng,[foto] dapur pengembangbiakan nyamuk wolbachia untuk dbd di salatiga https://t.co/frotddojtt
30,Unverified,"ngerasa nyamuknya jd lebih banyak akhir akhir ini, nyamuknya juga belang belang dirumah kaya nyamuk dbd apakah itu nyamuk wolbachia? efeknya bekas gigitan nyamuk jd item item☹️",https://twitter.com/xyzeldkg/status/1738938466245673157,Sun Dec 24 15:03:32 +0000 2023,1738938466245673157,"@anas_pnk90 Ngerasa nyamuknya jd lebih banyak akhir akhir ini, nyamuknya juga belang belang dirumah kaya nyamuk dbd apakah itu nyamuk wolbachia? Efeknya bekas gigitan nyamuk jd item item☹️",0,0,0,0,in,1204167090128637952,1738808155780555209,xyzeldkg,"ngerasa nyamuknya jd lebih banyak akhir akhir ini, nyamuknya juga belang belang dirumah kaya nyamuk dbd apakah itu nyamuk wolbachia? efeknya bekas gigitan nyamuk jd item item☹️"
31,Fact,"wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari dbd",https://twitter.com/shofiyablue/status/1737823473832190323,Thu Dec 21 13:12:58 +0000 2023,1737823473832190323,"@KemenkesRI Wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari DBD",0,0,0,0,in,1593928724478844929,1734208658626761025,shofiyablue,"wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari dbd"
32,Fact,"wah, perkembangan wolbachia di jogja emang bagus banget! tetangga2 yang langganan dbd berkurang drastis. jadi, sebenernya gak perlu ribut-ribut nyambungin dengan lgbt, yang penting kesehatan masyarakat menurutku",https://twitter.com/saki_lasaka/status/1737798057570504953,Thu Dec 21 11:31:58 +0000 2023,1737798057570504953,"@KemenkesRI Wah, perkembangan Wolbachia di Jogja emang bagus banget! tetangga2 yang langganan DBD berkurang drastis. Jadi, sebenernya gak perlu ribut-ribut nyambungin dengan LGBT, yang penting kesehatan masyarakat menurutku",0,0,0,0,in,1608049675944460288,1734208658626761025,saki_lasaka,"wah, perkembangan wolbachia di jogja emang bagus banget! tetangga2 yang langganan dbd berkurang drastis. jadi, sebenernya gak perlu ribut-ribut nyambungin dengan lgbt, yang penting kesehatan masyarakat menurutku"
33,Fact,"misinformasi macam apa ini? di jogja penelitian nyamuk wolbachia di ugm sudah berjalan dari kapan tau, ga ada yg heboh. dan berhasil menurunkan jumlah dbd 🤣🤣🤣",https://twitter.com/ElioAglio/status/1737762820341846055,Thu Dec 21 09:11:57 +0000 2023,1737762820341846055,"@e100ss Misinformasi macam apa ini? Di Jogja penelitian nyamuk Wolbachia di UGM sudah berjalan dari kapan tau, ga ada yg heboh. Dan berhasil menurunkan jumlah DBD 🤣🤣🤣",0,0,0,0,in,1245685001108090881,1737322676069482634,ElioAglio,"misinformasi macam apa ini? di jogja penelitian nyamuk wolbachia di ugm sudah berjalan dari kapan tau, ga ada yg heboh. dan berhasil menurunkan jumlah dbd 🤣🤣🤣"
34,Fact,"setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas dbd, no debate!",https://twitter.com/inkarelzy/status/1737686033230393639,Thu Dec 21 04:06:49 +0000 2023,1737686033230393639,"@KemenkesRI setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas DBD, no debate!",0,0,0,0,in,1731671638197022720,1735258178764566855,inkarelzy,"setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas dbd, no debate!"
35,Fact,cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa dbd,https://twitter.com/firmansdb/status/1737685320035082649,Thu Dec 21 04:03:59 +0000 2023,1737685320035082649,@KemenkesRI cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa DBD,0,0,0,0,in,1734761444091326464,1735258178764566855,firmansdb,cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa dbd
36,Fact,gw optimis kalau wolbachia ini bisa sukses nurunin dbd lanjutkan!,https://twitter.com/LAkbar01/status/1737512170882216420,Wed Dec 20 16:35:57 +0000 2023,1737512170882216420,@KemenkesRI Gw optimis kalau wolbachia ini bisa sukses nurunin Dbd lanjutkan!,0,0,0,0,in,1737446403532820480,1735258178764566855,LAkbar01,gw optimis kalau wolbachia ini bisa sukses nurunin dbd lanjutkan!
37,Fact,"thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia",https://twitter.com/alvarosubagjaa/status/1737506939033309205,Wed Dec 20 16:15:10 +0000 2023,1737506939033309205,"@KemenkesRI thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia",0,0,0,0,in,1726604741885722624,1735258178764566855,alvarosubagjaa,"thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia"
38,Unverified,"dbd sering banget menyerang anak anak,kadang aku sering khawatir kalau kalau adikku terjangkit dbd karna sering main keluar rumah. terimakasi atas adanya program wolbachia",https://twitter.com/maharani37391/status/1737506015351013655,Wed Dec 20 16:11:30 +0000 2023,1737506015351013655,"@KemenkesRI dbd sering banget menyerang anak anak,kadang aku sering khawatir kalau kalau adikku terjangkit dbd karna sering main keluar rumah. Terimakasi atas adanya program wolbachia",0,0,0,0,in,1710980767185293313,1735258178764566855,maharani37391,"dbd sering banget menyerang anak anak,kadang aku sering khawatir kalau kalau adikku terjangkit dbd karna sering main keluar rumah. terimakasi atas adanya program wolbachia"
39,Fact,"digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya",https://twitter.com/vauziahzy/status/1737504606530470376,Wed Dec 20 16:05:54 +0000 2023,1737504606530470376,"@KemenkesRI digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya",0,0,0,0,in,1730619697341829120,1735258178764566855,vauziahzy,"digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya"
40,Fact,welcome wolbachia! semangat memerangi dbd di muka bumi ini,https://twitter.com/Veronicaanidian/status/1737504182792565206,Wed Dec 20 16:04:13 +0000 2023,1737504182792565206,@KemenkesRI welcome wolbachia! semangat memerangi dbd di muka bumi ini,0,0,0,0,in,1730952430601502720,1735258178764566855,Veronicaanidian,welcome wolbachia! semangat memerangi dbd di muka bumi ini
41,Fact,"aku baca beberapa berita dari google,  wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd",https://twitter.com/chintyaoctora/status/1737503763605422294,Wed Dec 20 16:02:33 +0000 2023,1737503763605422294,"@KemenkesRI Aku baca beberapa berita dari google,  Wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd",0,0,0,0,in,1325439414894391303,1735258178764566855,chintyaoctora,"aku baca beberapa berita dari google,  wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd"
42,Fact,"bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa dbd, wow!",https://twitter.com/FiskaDit/status/1737503725483352092,Wed Dec 20 16:02:24 +0000 2023,1737503725483352092,"@KemenkesRI bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa DBD, wow!",0,0,0,0,in,1737496106907652096,1735258178764566855,FiskaDit,"bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa dbd, wow!"
43,Fact,nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia,https://twitter.com/vahiravazza/status/1737503188365017116,Wed Dec 20 16:00:16 +0000 2023,1737503188365017116,@KemenkesRI nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia,0,0,0,0,in,1730953135802503168,1735258178764566855,vahiravazza,nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia
44,Unverified,"gw dulu pernah sakit dbd dan emang ga enak bgt, wolbachia menjadi harapan baru buat anak dan cucu gw di masa depan spy ga ngalamin hal yg sama",https://twitter.com/vanyaayani/status/1737502537186717816,Wed Dec 20 15:57:40 +0000 2023,1737502537186717816,"@KemenkesRI gw dulu pernah sakit dbd dan emang ga enak bgt, wolbachia menjadi harapan baru buat anak dan cucu gw di masa depan spy ga ngalamin hal yg sama",0,0,0,0,in,1730953512396431360,1735258178764566855,vanyaayani,"gw dulu pernah sakit dbd dan emang ga enak bgt, wolbachia menjadi harapan baru buat anak dan cucu gw di masa depan spy ga ngalamin hal yg sama"
